timestamp,model,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive,threshold,threshold_strategy,validation_f1_at_threshold,seed
2026-06-28T11:38:23,Elliptic-MLP,0.45098039215686275,0.3333333333333333,0.38333333333333336,0.40689586482403345,0.7678613779200758,8065,368,224,184,0.48000000000000004,f1,0.7006802721088435,42
2026-06-28T11:38:36,Elliptic-LSTM,0.4215686274509804,0.688,0.5227963525835866,0.5197127045469463,0.8641451594882968,8346,78,236,172,0.98,f1,0.6798479087452471,42
2026-06-28T11:38:57,Elliptic-Transformer,0.4362745098039216,0.7946428571428571,0.5632911392405063,0.5490022308359195,0.8538739688657989,8378,46,230,178,0.89,f1,0.8358445678033307,42
2026-06-28T11:39:01,Elliptic-GCN,0.46568627450980393,0.16979445933869527,0.24885396201702684,0.2938805744896957,0.7725396900133231,7504,929,218,190,0.5,f1,0.4568469505178366,42
2026-06-28T11:39:06,Elliptic-GraphSAGE,0.4362745098039216,0.43309002433090027,0.4346764346764347,0.4177266944420934,0.788255987797704,8200,233,230,178,0.8,f1,0.6222808174027686,42
2026-06-28T11:39:12,Elliptic-GAT,0.39950980392156865,0.3286290322580645,0.3606194690265487,0.32513024570553584,0.8181929418275078,8100,333,245,163,0.91,f1,0.5472972972972973,42
2026-06-28T11:43:02,MLP,0.3384545865341166,0.5874509803921568,0.4294724770642202,0.4267505606952522,0.8536611664220629,56315,526,1464,749,0.87,f1,0.38004246284501064,42
2026-06-28T11:46:14,LSTM,0.38816086760054225,0.4761640798226164,0.4276823500124471,0.40285591470645316,0.8450095212488244,55887,945,1354,859,0.89,f1,0.3669042454291912,42
2026-06-28T11:48:26,Transformer,0.982828739267962,0.037901230265221485,0.07298780180875518,0.1258869179557863,0.706339427288789,1621,55211,38,2175,0.46,f1,0.06081828843263243,42
2026-06-28T11:48:47,GCN,0.3271577044735653,0.198410523431077,0.24701467076083247,0.12000971000016125,0.7834247812169912,53916,2925,1489,724,0.78,f1,0.24948392804482453,42
2026-06-28T11:49:21,GraphSAGE,0.3895164934478084,0.237531000275558,0.2951044162957891,0.2407283477548015,0.7992802446615163,54074,2767,1351,862,0.62,f1,0.30707070707070705,42
2026-06-28T11:49:39,GAT,0.2123813827383642,0.1540478531628974,0.17857142857142858,0.09858515252775155,0.7395605986091025,54260,2581,1743,470,0.9500000000000001,f1,0.19004815409309792,42
2026-06-28T12:57:18,Elliptic-GAT-sampled_complement,0.4877450980392157,0.08522483940042827,0.14509660955158585,0.0828183555279434,0.6628284540425917,6297,2136,209,199,0.6,f1,0.35326299335678,42
2026-06-28T13:01:50,Elliptic-GCN-sampled_complement,0.3382352941176471,0.08635794743429287,0.13758723828514458,0.08270427349206468,0.6742928109225429,6973,1460,270,138,0.77,f1,0.3216715257531584,42
2026-06-28T13:02:42,Elliptic-GraphSAGE-sampled_complement,0.35784313725490197,0.38421052631578945,0.37055837563451777,0.24827899570375117,0.7581437768988776,8199,234,262,146,0.5700000000000001,f1,0.6724960254372019,42
2026-06-28T13:52:42,GCN-sampled_complement,0.3691821057388161,0.13380281690140844,0.19641783868253396,0.10269941792131579,0.7096845838026405,51552,5289,1396,817,0.53,f1,0.1823489010989011,42
