timestamp,model,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive,threshold,threshold_strategy,validation_f1_at_threshold
2026-05-24T12:43:48,MLP,0.7379123361952101,0.13068181818181818,0.22204092732340744,0.3362864397882383,0.8437369228071554,45978,10863,580,1633,,,
2026-05-24T12:47:09,LSTM,0.6940804338002712,0.12324480462168018,0.20932134096484056,0.3781260440153983,0.8393669202803967,45905,10927,677,1536,,,
2026-05-24T12:55:35,Transformer,0.745594215996385,0.11361288989878124,0.19717973231357552,0.3676057625771455,0.8375019130277476,43959,12873,563,1650,,,
2026-05-24T13:02:12,GCN,0.710347943967465,0.08357701100536977,0.1495576063171915,0.1131726751626518,0.7733979373242044,39604,17237,641,1572,,,
2026-05-24T13:03:26,GraphSAGE,0.5210122006326254,0.12548976926425773,0.20226295938952724,0.11931207945061169,0.777599917951577,48806,8035,1060,1153,,,
2026-05-24T13:04:12,GAT,1.0,0.037475445370182214,0.07224353219619685,0.09495527542716725,0.7277895142182116,2,56839,0,2213,,,
2026-05-24T13:28:17,Elliptic-MLP,0.0,0.0,0.0,0.3715048303405533,0.778193249907576,8433,0,408,0,,,
2026-05-24T13:28:28,Elliptic-LSTM,0.48284313725490197,0.341421143847487,0.4,0.477235206625034,0.847759756205426,8044,380,211,197,,,
2026-05-24T13:28:43,Elliptic-Transformer,0.47058823529411764,0.5818181818181818,0.5203252032520326,0.5448367939764545,0.8532164171461557,8286,138,216,192,,,
2026-05-24T13:28:44,Elliptic-GCN,0.5147058823529411,0.12280701754385964,0.19830028328611898,0.1310051676496451,0.772485049397442,6933,1500,198,210,,,
2026-05-24T13:28:45,Elliptic-GraphSAGE,0.803921568627451,0.09466089466089467,0.16937774335140718,0.3513903348156823,0.7864008226319106,5296,3137,80,328,,,
2026-05-24T13:28:47,Elliptic-GAT,0.7941176470588235,0.09568812758417011,0.17079599367422246,0.23085920017132477,0.7996648321370526,5371,3062,84,324,,,
2026-05-24T14:28:25,MLP,0.7361048350655219,0.1433852653815685,0.24001768086046854,0.411283327255211,0.8585224766594106,47109,9732,584,1629,,,
2026-05-24T14:31:08,LSTM,0.7130591956619973,0.12655385355682092,0.21495709031467103,0.3979012105428346,0.843362230229693,45941,10891,635,1578,,,
2026-05-24T14:34:41,Transformer,0.4975146859466787,0.1421195301406996,0.22108433734939759,0.25660394812679865,0.7186845746100541,50186,6646,1112,1101,,,
2026-05-24T14:34:54,GCN,0.5797559873474921,0.10595424890577257,0.17916492110040497,0.11423283815628091,0.7680725647421388,46015,10826,930,1283,,,
2026-05-24T14:35:08,GraphSAGE,0.7311342069588793,0.0854863422623765,0.1530747398297067,0.12456358663313132,0.7776551572225241,39532,17309,595,1618,,,
2026-05-24T14:35:21,GAT,0.6122910076818798,0.10224871717476608,0.17523440025864856,0.10599801709592456,0.7406166437286756,44944,11897,858,1355,,,
2026-05-29T12:40:34,MLP,0.7446904654315409,0.13330097872684624,0.2261251372118551,0.42020795668813654,0.8570343552650134,46126,10715,565,1648,,,
2026-05-29T12:42:59,LSTM,0.7934929959331225,0.09783819924225541,0.17419770844700164,0.3893430317429746,0.8400586475787526,40640,16192,457,1756,,,
2026-05-29T12:45:55,Transformer,1.0,0.0374798882208485,0.07225178752162983,0.1310416669700852,0.7123418659141518,0,56832,0,2213,,,
2026-05-29T12:46:34,GCN,0.7754179846362403,0.08170650414246262,0.14783545121688563,0.1188207923893116,0.7859067523742294,37555,19286,497,1716,,,
2026-05-29T12:46:49,GraphSAGE,0.9990962494351558,0.0380583526981668,0.07332360549180872,0.12141829993723026,0.7285709887196695,957,55884,2,2211,,,
2026-05-29T12:47:01,GAT,0.7071848169905106,0.08287000264760391,0.1483552943406958,0.1003532284106748,0.7581965327640822,39521,17320,648,1565,,,
2026-05-29T12:47:53,Elliptic-MLP,0.0,0.0,0.0,0.3395921692994107,0.7744567618343436,8433,0,408,0,,,
2026-05-29T12:48:04,Elliptic-LSTM,0.5073529411764706,0.3189522342064715,0.391674550614948,0.4947349936970046,0.8534008807701617,7982,442,201,207,,,
2026-05-29T12:48:18,Elliptic-Transformer,0.47549019607843135,0.48743718592964824,0.4813895781637717,0.5277783851046405,0.8441230005772489,8220,204,214,194,,,
2026-05-29T12:48:23,Elliptic-GCN,0.25980392156862747,0.4380165289256198,0.3261538461538461,0.2917343417732882,0.7593000944003832,8297,136,302,106,,,
2026-05-29T12:48:25,Elliptic-GraphSAGE,0.7867647058823529,0.09296264118158123,0.16627816627816627,0.3551824615030744,0.7808800859369005,5301,3132,87,321,,,
2026-05-29T12:48:26,Elliptic-GAT,0.7720588235294118,0.09467989179440937,0.1686746987951807,0.2268312188361838,0.7851853595701295,5421,3012,93,315,,,
2026-05-29T13:16:43,MLP,0.7175779484862178,0.12685732545135006,0.21559975561740546,0.395433140979366,0.8485354176024092,45911,10930,625,1588,,,
2026-05-29T13:18:56,LSTM,0.7126073203795752,0.11734504055361263,0.20150779453105033,0.40285591470645316,0.8450095212488244,44970,11862,636,1577,,,
2026-05-29T13:21:59,Transformer,0.0,0.0,0.0,0.15506424701793128,0.7121949499947586,56832,0,2213,0,,,
2026-05-29T13:22:11,GCN,0.5689109805693628,0.10416149582195748,0.17608391608391608,0.1101968463221641,0.7726779426963695,46013,10828,954,1259,,,
2026-05-29T13:22:26,GraphSAGE,0.8260280162675102,0.04989219138076913,0.09410068979717903,0.11724232395485087,0.7415431188320537,22030,34811,385,1828,,,
2026-05-29T13:22:38,GAT,0.9769543605964753,0.03908523908523909,0.07516339869281045,0.10212774772499583,0.7549885529459847,3688,53153,51,2162,,,
2026-05-29T13:29:59,Elliptic-MLP,0.0,0.0,0.0,0.40689586482403345,0.7678613779200758,8433,0,408,0,,,
2026-05-29T13:30:10,Elliptic-LSTM,0.5147058823529411,0.30701754385964913,0.38461538461538464,0.5197127045469463,0.8641451594882968,7950,474,198,210,,,
2026-05-29T13:30:24,Elliptic-Transformer,0.5147058823529411,0.4976303317535545,0.5060240963855421,0.5490022308359195,0.8538739688657989,8212,212,198,210,,,
2026-05-29T13:30:25,Elliptic-GCN,0.46568627450980393,0.16979445933869527,0.24885396201702684,0.2938805744896957,0.7725396900133229,7504,929,218,190,,,
2026-05-29T13:30:26,Elliptic-GraphSAGE,0.7941176470588235,0.08962655601659751,0.1610738255033557,0.32000004403541876,0.7764273117049502,5142,3291,84,324,,,
2026-05-29T13:30:27,Elliptic-GAT,0.7622549019607843,0.08936781609195402,0.15997942386831276,0.2289609388726492,0.7659477937979413,5264,3169,97,311,,,
2026-05-29T13:50:35,MLP,0.7175779484862178,0.12685732545135006,0.21559975561740546,0.395433140979366,0.8485354176024092,45911,10930,625,1588,,,
2026-05-29T13:52:50,LSTM,0.7126073203795752,0.11734504055361263,0.20150779453105033,0.40285591470645316,0.8450095212488244,44970,11862,636,1577,,,
2026-05-29T13:55:46,Transformer,0.0,0.0,0.0,0.15506424701793128,0.7121949499947586,56832,0,2213,0,,,
2026-05-29T13:55:58,GCN,0.5689109805693628,0.10416149582195748,0.17608391608391608,0.11019715517443435,0.7726783322371735,46013,10828,954,1259,,,
2026-05-29T13:56:12,GraphSAGE,0.8260280162675102,0.04989219138076913,0.09410068979717903,0.11724236428786824,0.7415431665309277,22030,34811,385,1828,,,
2026-05-29T13:56:24,GAT,0.877541798463624,0.04678278046782781,0.08882993321745494,0.10011657488820816,0.7337040632913814,17272,39569,271,1942,,,
2026-05-29T14:00:04,Elliptic-MLP,0.0,0.0,0.0,0.40689586482403345,0.7678613779200758,8433,0,408,0,,,
2026-05-29T14:00:14,Elliptic-LSTM,0.5147058823529411,0.30701754385964913,0.38461538461538464,0.5197127045469463,0.8641451594882968,7950,474,198,210,,,
2026-05-29T14:00:28,Elliptic-Transformer,0.5147058823529411,0.4976303317535545,0.5060240963855421,0.5490022308359195,0.8538739688657989,8212,212,198,210,,,
2026-05-29T14:00:29,Elliptic-GCN,0.46568627450980393,0.16979445933869527,0.24885396201702684,0.2938805744896956,0.7725396900133231,7504,929,218,190,,,
2026-05-29T14:00:31,Elliptic-GraphSAGE,0.7941176470588235,0.08962655601659751,0.1610738255033557,0.3200001460320773,0.776427602346524,5142,3291,84,324,,,
2026-05-29T14:00:32,Elliptic-GAT,0.7622549019607843,0.08936781609195402,0.15997942386831276,0.22896093887264926,0.7659477937979413,5264,3169,97,311,,,
2026-05-29T14:09:03,MLP,0.7175779484862178,0.12685732545135006,0.21559975561740546,0.395433140979366,0.8485354176024092,45911,10930,625,1588,,,
2026-05-29T14:11:24,LSTM,0.7126073203795752,0.11734504055361263,0.20150779453105033,0.40285591470645316,0.8450095212488244,44970,11862,636,1577,,,
2026-05-29T14:14:37,Transformer,1.0,0.0374798882208485,0.07225178752162983,0.15506424701793128,0.7121949499947586,0,56832,0,2213,,,
2026-05-29T14:14:49,GCN,0.5689109805693628,0.10416149582195748,0.17608391608391608,0.11019715964277399,0.7726783044128303,46013,10828,954,1259,,,
2026-05-29T14:15:03,GraphSAGE,0.8260280162675102,0.04989219138076913,0.09410068979717903,0.11724230468898529,0.7415431824305523,22030,34811,385,1828,,,
2026-05-29T14:15:16,GAT,0.9918662449164031,0.037561818710748325,0.07238252267106347,0.09769272553807097,0.7441318519939238,599,56242,18,2195,,,
2026-05-29T14:29:53,MLP,0.39990962494351556,0.4190340909090909,0.4092485549132948,0.395433140979366,0.8485354176024092,55614,1227,1328,885,,,
